Address: line1,Address: line2,Site,Program Name in HMIS,Building Number,Unit Number,Status,Family Size,Household Type,Staff Assigned,Unit Type,Bed Inventory,Disability Required,Chronic Homeless,Age Range,AMI Limit,Additional Details,Unit Notes,Assigned Programs
3315 Broadway Ave.,303,Station Place,Station Place OPH,1,303,Occupied,,Family with children,Maribeth,1 Bedroom,,No,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,304,Station Place Veteran,Station Place VASH,1,304,Occupied,,Individual,Joanne,1 Bedroom,,No,Prioritized,Unspecified,,,,
3315 Broadway Ave.,305,Station Place,Station Place OPH,1,305,Occupied,,Family with children,Michelle/Maribeth,1 Bedroom,,No,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,306,Station Place Young Adult,Station Place OPH,1,306,Occupied,,Individual OR Individual with child,Michelle,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,307,Station Place Veteran,Station Place VASH,1,307,Occupied,,Individual,Joanne,1 Bedroom,,No,Prioritized,Unspecified,,,,
3315 Broadway Ave.,309,Station Place Veteran,Station Place VASH,1,309,Occupied,,Individual,Joanne,Studio,,No,Prioritized,Unspecified,,,,
3315 Broadway Ave.,310,Station Place Young Adult,Station Place OPH,1,310,Occupied,,Individual OR Individual with child,Michelle,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,311,Station Place Young Adult,Station Place OPH,1,311,Occupied,,Individual OR Individual with child,Michelle,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,312,Station Place CoC Beachwood,Station Place CoC Beachwood,1,312,Occupied,,Individual OR Individual with child,Kevin,Studio,,Yes,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,313,Station Place OPH,Station Place OPH,1,313,"Client Assigned, Awaiting Move-In",,Family with children,Kevin,1 Bedroom,,No,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,314,Station Place Family with Children FDTC,Station Place OPH,1,314,Occupied,,Family with children,Michelle,1 Bedroom,,"Yes, FDC",Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,315,Station Place Veteran,Station Place VASH,1,315,Occupied,,Individual,Joanne,1 Bedroom,,No,Prioritized,Unspecified,,,,
3315 Broadway Ave.,316,Station Place PSH,Station Place PSH,1,316,Occupied,,Individual OR Individual with child,Maribeth,Studio,,Yes,Prioritized,Unspecified,,,,
3315 Broadway Ave.,317,Station Place Young Adult,Station Place OPH,1,317,Occupied,,Individual OR Individual with child,Michelle,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,318,Station Place Family with Children FDTC,Station Place OPH,1,318,Occupied,,Family with children,Michelle,1 Bedroom,,"Yes, FDC",Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,319,Station Place PSH,Station Place PSH,1,319,Undergoing Renovation,,Individual OR Individual with child,Maribeth,Studio,,"Yes, CD",Prioritized,Unspecified,,PBV,Do not advertise yet--wait to get update from Property// checked for update 6/23/ was asked to check back in August. The unit is uninhabitable at this time. ,
3315 Broadway Ave.,321,Station Place Young Adult,Station Place OPH,1,321,Advertising,,Individual OR Individual with child,Maribeth,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,322,Station Place Family with Children FDTC,Station Place OPH,1,322,"Client Assigned, Awaiting Move-In",,Family with children,Michelle,1 Bedroom,,"Yes, FDC",Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,402,Station Place Veteran,Station Place VASH,1,402,Occupied,,Individual,Joanne,Studio,,No,Prioritized,Unspecified,,,,
3315 Broadway Ave.,403,Station Place Family with Children FDTC,Station Place OPH,1,403,Occupied,,Family with children,Michelle,1 Bedroom,,"Yes, FDC",Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,404,Station Place,Station Place OPH,1,404,Intake Scheduled,,Individual OR Individual with child,Michelle,1 Bedroom,,No,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,405,Station Place OPH,Station Place OPH,1,405,Occupied,,Family with children,Kevin,1 Bedroom,,No,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,406,Station Place Young Adult,Station Place OPH,1,406,Occupied,,Individual OR Individual with child,Maribeth,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,407,Station Place Family with Children FDTC,Station Place OPH,1,407,Occupied,,Family with children,Michelle,1 Bedroom,,"Yes, FDC",Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,409,Station Place Young Adult,Station Place OPH,1,409,Occupied,,Individual OR Individual with child,Maribeth,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,410,Station Place Veteran,Station Place VASH,1,410,Occupied,,Individual,Joanne,Studio,,No,Prioritized,Unspecified,,,,
3315 Broadway Ave.,411,Station Place,Station Place OPH,1,411,Occupied,,Individual OR Individual with child,Kevin,Studio,,No,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,412,Station Place Young Adult,Station Place OPH,1,412,Occupied,,Individual OR Individual with child,Maribeth,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,413,Station Place PSH,Station Place PSH,1,413,Occupied,,Individual OR Individual with child,Kevin,1 Bedroom,,"Yes, CD",Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,414,Station Place,Station Place OPH,1,414,"Client Assigned, Awaiting Move-In",,Individual OR Individual with child,Kevin,1 Bedroom,,No,Prioritized,Unspecified,,,,
3315 Broadway Ave.,415,Station Place,Station Place OPH,1,415,Occupied,,Family with children,Kevin,1 Bedroom,,No,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,417,Station Place,Station Place OPH,1,417,Occupied,,Family with children,Kevin,1 Bedroom,,No,Prioritized,Unspecified,,PBV,,
3315 Broadway Ave.,418,Station Place Young Adult,Station Place OPH,1,418,Occupied,,Individual OR Individual with child,Michelle,Studio,,No,Prioritized,18-24,,PBV,,
3315 Broadway Ave.,420,Station Place Veteran,Station Place VASH,1,420,Advertising,,Individual,Joanne,Studio,,No ,Prioritized,Unspecified,,,,
3315 Broadway Ave.,421,Station Place PSH,Station Place PSH,1,421,Occupied,,Individual OR Individual with child,Kevin,1 Bedroom,,Yes,Prioritized,Unspecified,,,,
2820 164th St. NE,A101,Twin Lakes Landing PSH,,A,101,Occupied,,,kristina,2 Bedroom,,"Yes, CD",Dedicated,Unspecified,,,,
2820 164th St. NE,A102,Twin Lakes Landing OPH,,A,102,Advertising,,,Lesly,2 Bedroom,,No,Prioritized,Unspecified,,,"Third party HUD verification of Disability. As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,A103,Twin Lakes Landing PSH,,A,103,Advertising,,Family with children,Lesly,2 Bedroom,,"Yes, CD",Dedicated,Unspecified,30%,,Room not ready? Flat rate? A103 added as a homeless unit temporarily 5.4.23 and will have a HUD voucher,
2820 164th St. NE,A104,Twin Lakes Landing OPH,,A,104,Occupied,,,kristina,2 Bedroom,,No,Prioritized,Unspecified,,,"New resident not chem dependent. As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,A105,Twin Lakes Landing PSH,,A,105,Occupied,,,Lesly,2 Bedroom,,Yes ,Dedicated,Unspecified,,,As of 04/01/18 no verified HUD disability - removed chem dependency from unit,
2820 164th St. NE,A201,Twin Lakes Landing PSH,,A,201,Occupied,,,Lesly,2 Bedroom,,Yes,Dedicated,Unspecified,,,,
2820 164th St. NE,A202,Twin Lakes Landing OPH,,A,202,Occupied,,,Lesly,2 Bedroom,,No,Prioritized,Unspecified,,,"As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,A203,Twin Lakes Landing PSH,,A,203,Occupied,,,kristina,2 Bedroom,,"Yes, CD",Dedicated,Unspecified,,,,
2820 164th St. NE,A205,Twin Lakes Landing OPH,,A,205,Occupied,,,kristina,2 Bedroom,,No,Prioritized,Unspecified,,,"As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,A206,Twin Lakes Landing PSH,,A,206,Occupied,,,Lesly,2 Bedroom,,Yes,Dedicated,Unspecified,,,,
2820 164th St. NE,B203,Twin Lakes Landing OPH,,B,203,Occupied,,,Kristina,2 Bedroom,,No,Prioritized,Unspecified,,,"As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,B204,Twin Lakes Landing PSH,,B,204,"Client Assigned, Awaiting Move-In",,,Lesly,2 Bedroom,,"Yes, CD",Dedicated,Unspecified,,,,
2820 164th St. NE,C101,Twin Lakes Landing PSH,,C,101,Occupied,,,kristna,2 Bedroom,,"Yes, CD",Dedicated,Unspecified,,,,
2820 164th St. NE,C102,Twin Lakes Landing PSH,,C,102,"Client Assigned, Awaiting Move-In",,,Lesly,2 Bedroom,,Yes,Dedicated,Unspecified,,,,
2820 164th St. NE,C104,Twin Lakes Landing OPH,,C,104,Occupied,,,kristina,2 Bedroom,,No,Prioritized,Unspecified,,,"As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,C106,Twin Lakes Landing PSH,,C,106,Occupied,,,Lesly,2 Bedroom,,"Yes, CD",Dedicated,Unspecified,,,,
2820 164th St. NE,C202,Twin Lakes Landing OPH,,C,202,Occupied,,,Lesly,2 Bedroom,,No,Prioritized,Unspecified,,,"As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,C203,Twin Lakes Landing PSH,,C,203,Occupied,,,Lesly,2 Bedroom,,"Yes, CD",Dedicated,Unspecified,,,,
2820 164th St. NE,C204,Twin Lakes Landing OPH,,C,204,Occupied,,,kristina,2 Bedroom,,No,Prioritized,Unspecified,,,"As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,C205,Twin Lakes Landing PSH,,C,205,Occupied,,,Lesly,2 Bedroom,,"Yes, CD",Dedicated,Unspecified,,,,
2820 164th St. NE,C206,Twin Lakes Landing OPH,,C,206,Occupied,,,kristina,2 Bedroom,,No,Prioritized,Unspecified,,,"C206 & E204 lost their HUD vouchers; when one of them moves out that unit will convert to a permanent/affordable. As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,D101,Twin Lakes Landing PSH,,D,101,Occupied,,,Lesly,1 Bedroom,,Yes,Dedicated,Unspecified,,,,
2820 164th St. NE,D102,Twin Lakes Landing OPH,,D,102,Occupied,,,Lesly,1 Bedroom,,No,Prioritized,Unspecified,,,"As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,D103,Twin Lakes Landing OPH,,D,103,Occupied,,,kristina,1 Bedroom,,No,Prioritized,Unspecified,,,"My understanding is that TLL D103 is ok but I am requesting to swap that to a non-homeless because we have a permanent household on site that has to move out due to the damaged caused by the flooding/overflow from F203. I will let you know more on that one when I do.// see crystals email from 7/21/23. As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,D201,Twin Lakes Landing PSH,,D,201,Occupied,,,Lesly,1 Bedroom,,Yes,Dedicated,Unspecified,,,,
2820 164th St. NE,D202,Twin Lakes Landing OPH,,D,202,Occupied,,,kristina,1 Bedroom,,No,Prioritized,Unspecified,,,"As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,D203,Twin Lakes Landing PSH,,D,203,Occupied,,,Lesly,1 Bedroom,,Yes,Dedicated,Unspecified,,,,
2820 164th St. NE,E101,Twin Lakes Landing PSH,,E,101,"Client Assigned, Awaiting Move-In",,,Lesly,2 Bedroom,,Yes,Dedicated,Unspecified,,,,
2820 164th St. NE,E102,Twin Lakes Landing PSH,,E,102,Occupied,,,kristina,2 Bedroom,,"Yes, CD",Dedicated,Unspecified,,,,
2820 164th St. NE,E103,Twin Lakes Landing PSH,,E,103,Occupied,,,Lesly,2 Bedroom,,"Yes, CD",Dedicated,Unspecified,,,,
2820 164th St. NE,E201,Twin Lakes Landing OPH,,E,201,Occupied,,,Kristina,2 Bedroom,,No,Prioritized,Unspecified,,,"As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,E202,Twin Lakes Landing PSH,,E,202,Occupied,,,Kristina,2 Bedroom,,"Yes, CD",Dedicated,Unspecified,,,,
2820 164th St. NE,E204,Twin Lakes Landing OPH,,E,204,Occupied,,,Lesly,2 Bedroom,,No,Prioritized,Unspecified,,,"C206 & E204 lost their HUD vouchers; when one of them moves out that unit will convert to a permanent/affordable. As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,F101,Twin Lakes Landing OPH,,F,101,Occupied,,,kristina,1 Bedroom,,No,Prioritized,Unspecified,,,"As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,F103,Twin Lakes Landing PSH,,F,103,Occupied,,,Kristina,1 Bedroom,,Yes,Dedicated,Unspecified,,,,
2820 164th St. NE,F104,Twin Lakes Landing PSH,,F,104,Occupied,,,Kristina,1 Bedroom,,Yes,Dedicated,Unspecified,,,,
2820 164th St. NE,F201,Twin Lakes Landing PSH,,F,201,Occupied,,,Lesly,1 Bedroom,,Yes,Dedicated,Unspecified,,,,
2820 164th St. NE,F202,Twin Lakes Landing OPH,,F,202,Occupied,,,Lesly,1 Bedroom,,No,Prioritized,Unspecified,,,"As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2820 164th St. NE,F203,Twin Lakes Landing OPH,,F,203,Undergoing Renovation,,,kristina,1 Bedroom,,No,Prioritized,Unspecified,,,"As clients move out of OPH, need 2 more in PSH.  List above shows current clients in programs.",
2604 164th St. NE,A101,Twin Lakes Landing II - PSH,,A,101,Occupied,,CD/MH,Sarah,2 Bedroom,,CD/MH,Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,A102,Twin Lakes Landing II - OPH,,A,102,Occupied,,Family with Children,Lesly,2 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,A103,Twin Lakes Landing II - OPH,,A,103,Occupied,,Family with Children,Sarah,3 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,A201,Twin Lakes Landing II - OPH,,A,201,Occupied,,Family with Children,Sarah,2 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,A204,Twin Lakes Landing II - OPH,,A,204,Occupied,,Family with Children,Lesly,2 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,A205,Twin Lakes Landing II - OPH,,A,205,Occupied,,Family with Children,Lesly,3 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,A303,Twin Lakes Landing II - OPH,,A,303,Occupied,,Family with Children,Sarah,3 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,A304,Twin Lakes Landing II - PSH,,A,304,Occupied,,CD/MH,Sarah,2 Bedroom,,CD/MH,Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,B101,Twin Lakes Landing II - OPH,,B,101,Occupied,,Family with Children,Sarah,2 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,B104,Twin Lakes Landing II - PSH,,B,104,Occupied,,CD/MH,Sarah,2 Bedroom,,CD/MH,Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,B201,Twin Lakes Landing II - OPH,,B,201,Occupied,,Family with Children,Sarah,2 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,B203,Twin Lakes Landing II - OPH,,B,203,Occupied,,Family with Children,Sarah,3 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,B204,Twin Lakes Landing II - OPH,,B,204,Occupied,,Family with Children,Sarah,2 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,B205,Twin Lakes Landing II - OPH,,B,205,Occupied,,CD/MH,Sarah,3 Bedroom,,CD/MH,Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,B302,Twin Lakes Landing II - OPH,,B,302,Occupied,,Family with Children,Sarah,2 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,C102,Twin Lakes Landing II - PSH,,C,102,"Not Occupied, Not Advertising",,CD/MH,Sarah,1 Bedroom,,CD/MH,Dedicated,Unspecified,30%,PBV,need the status of the unit before I advertise// needs to be tested for drugs and also might take a while for the unit to be turn. ,
2604 164th St. NE,C201,Twin Lakes Landing II - OPH,,C,201,Occupied,,Family with Children,Sarah,1 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,C204,Twin Lakes Landing II - OPH,,C,204,Occupied,,Family with Children,Sarah,3 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,C206,Twin Lakes Landing II - PSH,,C,206,Occupied,,CD/MH,Lesly,2 Bedroom,,CD/MH,Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,C301,Twin Lakes Landing II - OPH,,C,301,Occupied,,Family with Children,Sarah,1 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,C304,Twin Lakes Landing II - PSH,,C,304,Occupied,,Family with Children,Lesly,3 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,C305,Twin Lakes Landing II - PSH,,C,305,Occupied,,CD/MH,Sarah,2 Bedroom,,CD/MH,Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,C306,Twin Lakes Landing II - OPH,,C,306,Occupied,,Family with Children,Sarah,2 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,D102,Twin Lakes Landing II - PSH,,D,102,Occupied,,CD/MH,Sarah,2 Bedroom,,CD/MH,Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,D105,Twin Lakes Landing II - OPH,,D,105,Occupied,,Family with Children,Sarah,2 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,D201,Twin Lakes Landing II - OPH,,D,201,Occupied,,Family with Children,Sarah,3 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,D202,Twin Lakes Landing II - OPH,,D,202,Occupied,,Family with Children,Lesly,2 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,D301,Twin Lakes Landing II - PSH,,D,301,Occupied,,CD/MH,Sarah,3 Bedroom,,CD/MH,Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,D303,Twin Lakes Landing II - OPH,,D,303,Occupied,,Family with Children,Sarah,3 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
2604 164th St. NE,D305,Twin Lakes Landing II - OPH,,D,305,Occupied,,Family with Children,Sarah,2 Bedroom,,No,Non-Dedicated,Unspecified,30%,PBV,,
932 4th St.,932,Winters Creek North PSH,,1,932,Occupied,,Family with children,Kathryn,2 Bedroom,,Yes,Prioritized,Unspecified,,,,
944 4th St.,944,Winters Creek North,,1,944,Occupied,,Family with children,Kathryn,2 Bedroom,,No,Prioritized,Unspecified,,,,
950 4th St.,950,Winters Creek North,,1,950,Occupied,,Family with children,Kathryn,2 Bedroom,,No,Prioritized,Unspecified,,Handicapped Equipped,,
952 4th St.,952,Winters Creek North PSH,,1,952,Occupied,,Family with children,Kathryn,3 Bedroom,,Yes,Prioritized,Unspecified,,,,
954 4th St.,954,Winters Creek North Affordable,,1,954,,,,Kathryn,,,,,,,,"954 is currently a homeless unit, but at move out will revert back to a permanent.  Do not advertise with county for this unit.",
517 4th St.,B,Winters Creek South,,517,B,Occupied,,Family with children,Kathryn,3 Bedroom,,No,Prioritized,Unspecified,,,,
518 4th St.,A,Winters Creek South PSH,,519,A,Occupied,,Family with children,Kathryn,3 Bedroom,,Yes,Prioritized,Unspecified,,,,
519 4th St.,B,Winters Creek South PSH,,519,B,Occupied,,Family with children,Kathryn,3 Bedroom,,Yes,Prioritized,Unspecified,,,,
320 E Fremont St.,1,Woods Creek PSH,,1,1,Occupied,,Family with children,Jami,2 Bedroom,,Yes,Prioritized,Unspecified,,,,
321 E Fremont St.,3,Woods Creek,,1,3,Occupied,,Family with children,Jami,2 Bedroom,,No,Prioritized,Unspecified,,,,
322 E Fremont St.,4,Woods Creek,,1,4,"Client Assigned, Awaiting Move-In",,Family with children,Jami,2 Bedroom,,No,Prioritized,Unspecified,,,,
323 E Fremont St.,5,Woods Creek,,1,5,Occupied,,Family with children,Jami,2 Bedroom,,No,Prioritized,Unspecified,,,,
324 E Fremont St.,6,Woods Creek PSH,,1,6,Occupied,,Family with children,Jami,2 Bedroom,,Yes,Prioritized,Unspecified,,,,
325 E Fremont St.,8,Woods Creek,,1,8,Occupied,,Family with children,Jami,2 Bedroom,,No,Prioritized,Unspecified,,,,
2604 164th St. NE,A104,Twin Lakes Landing II Affordable,,A,104,,,Affordable,,,,,,,,,,
2604 164th St. NE,A105,Twin Lakes Landing II Affordable,,A,105,,,Affordable,,,,,,,,,,
2604 164th St. NE,A202,Twin Lakes Landing II Affordable,,A,202,,,Affordable,,,,,,,,,,
2604 164th St. NE,A203,Twin Lakes Landing II Affordable,,A,203,,,Affordable,,,,,,,,,,
2604 164th St. NE,A301,Twin Lakes Landing II Affordable,,A,301,,,Affordable,,,,,,,,,,
2604 164th St. NE,A302,Twin Lakes Landing II Affordable,,A,302,,,Affordable,,,,,,,,,,
2604 164th St. NE,A305,Twin Lakes Landing II Affordable,,A,305,,,Affordable,,,,,,,,,,
2604 164th St. NE,B102,Twin Lakes Landing II Affordable,,B,102,,,Affordable,,,,,,,,,,
2604 164th St. NE,B103,Twin Lakes Landing II Affordable,,B,103,,,Affordable,,,,,,,,,,
2604 164th St. NE,B105,Twin Lakes Landing II Affordable,,B,105,,,Affordable,,,,,,,,,,
2604 164th St. NE,B202,Twin Lakes Landing II Affordable,,B,202,,,Affordable,,,,,,,,,,
2604 164th St. NE,B301,Twin Lakes Landing II Affordable,,B,301,,,Affordable,,,,,,,,,,
2604 164th St. NE,B303,Twin Lakes Landing II Affordable,,B,303,,,Affordable,,,,,,,,,,
2604 164th St. NE,B304,Twin Lakes Landing II Affordable,,B,304,,,Affordable,,,,,,,,,,
2604 164th St. NE,B305,Twin Lakes Landing II Affordable,,B,305,,,Affordable,,,,,,,,,,
2604 164th St. NE,C101,Twin Lakes Landing II Affordable,,C,101,,,Affordable,,,,,,,,,,
2604 164th St. NE,C103,Twin Lakes Landing II Affordable,,C,103,,,Affordable,,,,,,,,,,
2604 164th St. NE,C202,Twin Lakes Landing II Affordable,,C,202,,,Affordable,,,,,,,,,,
2604 164th St. NE,C203,Twin Lakes Landing II Affordable,,C,203,,,Affordable,,,,,,,,,,
2604 164th St. NE,C205,Twin Lakes Landing II Affordable,,C,205,,,Affordable,,,,,,,,,,
2604 164th St. NE,C302,Twin Lakes Landing II Affordable,,C,302,,,Affordable,,,,,,,,,,
2604 164th St. NE,C303,Twin Lakes Landing II Affordable,,C,303,,,Affordable,,,,,,,,,,
2604 164th St. NE,D101,Twin Lakes Landing II Affordable,,D,101,,,Affordable,,,,,,,,,,
2604 164th St. NE,D103,Twin Lakes Landing II Affordable,,D,103,,,Affordable,,,,,,,,,,
2604 164th St. NE,D104,Twin Lakes Landing II Affordable,,D,104,,,Affordable,,,,,,,,,,
2604 164th St. NE,D203,Twin Lakes Landing II Affordable,,D,203,,,Affordable,,,,,,,,,,
2604 164th St. NE,D204,Twin Lakes Landing II Affordable,,D,204,,,Affordable,,,,,,,,,,
2604 164th St. NE,D205,Twin Lakes Landing II Affordable,,D,205,,,Affordable,,,,,,,,,,
2604 164th St. NE,D302,Twin Lakes Landing II Affordable,,D,302,,,Affordable,,,,,,,,,,
2604 164th St. NE,D304,Twin Lakes Landing II Affordable,,D,304,,,Affordable,,,,,,,,,,
3315 Broadway Ave.,408,Station Place Affordable,N/A,1,408,,,Affordable,Maribeth,,,,,,,,,
3316 Broadway Ave.,308,Station Place Affordable,N/A,1,308,,,Affordable,Maribeth,,,,,,,,,
3317 Broadway Ave.,320,Station Place Affordable,N/A,1,320,,,Affordable,Maribeth,,,,,,,,,
3318 Broadway Ave.,416,Station Place Affordable,N/A,1,416,,,Affordable,Maribeth,,,,,,,,,
3319 Broadway Ave.,208,Station Place Affordable,N/A,1,208,,,Affordable,Maribeth,,,,,,,,,
3320 Broadway Ave.,220,Station Place Affordable,N/A,1,220,,,Affordable,Maribeth,,,,,,,,,
3321 Broadway Ave.,401,Station Place Affordable,N/A,1,401,,,Affordable,Maribeth,,,,,,,,,
3322 Broadway Ave.,419,Station Place Affordable,N/A,1,419,,,Affordable,Maribeth,,,,,,,,,
3323 Broadway Ave.,303,Station Place Affordable,N/A,1,303,,,Affordable,Maribeth,,,,,,,,,
3324 Broadway Ave.,319,Station Place Affordable,N/A,1,319,,,Affordable,Maribeth,,,,,,,,,
2820 164th St. NE,A106,Twin Lakes Landing Affordable,,A,106,,,Affordable,,,,,,,,,,
2820 164th St. NE,A204,Twin Lakes Landing Affordable,,A,204,,,Affordable,,,,,,,,,,
2820 164th St. NE,B201,Twin Lakes Landing Affordable,,B,201,,,Affordable,,,,,,,,,,
2820 164th St. NE,B202,Twin Lakes Landing Affordable,,B,202,,,Affordable,,,,,,,,,,
2820 164th St. NE,C103,Twin Lakes Landing Affordable,,C,103,,,Affordable,,,,,,,,,,
2820 164th St. NE,C105,Twin Lakes Landing Affordable,,C,105,,,Affordable,,,,,,,,,,
2820 164th St. NE,C201,Twin Lakes Landing Affordable,,C,201,,,Affordable,,,,,,,,,,
2820 164th St. NE,E104,Twin Lakes Landing Affordable,,E,104,,,Affordable,,,,,,,,,,
2820 164th St. NE,E203,Twin Lakes Landing Affordable,,E,203,,,Affordable,,,,,,,,,,
2820 164th St. NE,F102,Twin Lakes Landing Affordable,,F,102,,,Affordable,,,,,,,,,,
2820 164th St. NE,F204,Twin Lakes Landing Affordable,,F,204,,,Affordable,,,,,,,,,,
